partner_x,partner_code_x,year,value,Global Name_x,Region Name_x,Intermediate Region Name_x,Region Name_y,Intermediate Region Name_y,ISO-alpha3 Code_y,reporter
Pakistan,PAK,2018,379333.11718,World,Asia,Southern Asia,Asia,Southern Asia,AFG,Afghanistan
India,IND,2018,359468.7470000001,World,Asia,Southern Asia,Asia,Southern Asia,AFG,Afghanistan
China,CHN,2018,28409.23433,World,Asia,Eastern Asia,Asia,Southern Asia,AFG,Afghanistan
Turkey,TUR,2018,22018.831849999995,World,Asia,Western Asia,Asia,Southern Asia,AFG,Afghanistan
"Iran, Islamic Rep.",IRN,2018,20236.33276,World,Asia,Southern Asia,Asia,Southern Asia,AFG,Afghanistan
Italy,ITA,2018,1239627.6666093569,World,Europe,Southern Europe,Europe,Southern Europe,ALB,Albania
"Serbia, FR(Serbia/Montenegro)",SER,2018,301488.0721549489,,,,Europe,Southern Europe,ALB,Albania
Spain,ESP,2018,214228.90537946348,World,Europe,Southern Europe,Europe,Southern Europe,ALB,Albania
Greece,GRC,2018,112345.14345962914,World,Europe,Southern Europe,Europe,Southern Europe,ALB,Albania
Germany,DEU,2018,105025.81605312144,World,Europe,Western Europe,Europe,Southern Europe,ALB,Albania
"Macedonia, FYR",MKD,2018,73678.2982102268,World,Europe,Southern Europe,Europe,Southern Europe,ALB,Albania
China,CHN,2018,52174.793417604844,World,Asia,Eastern Asia,Europe,Southern Europe,ALB,Albania
Montenegro,MNT,2018,50012.30906863924,,,,Europe,Southern Europe,ALB,Albania
United States,USA,2018,40324.91026731386,World,Americas,Northern America,Europe,Southern Europe,ALB,Albania
Romania,ROM,2018,37050.69548728478,,,,Europe,Southern Europe,ALB,Albania
Slovenia,SVN,2018,29917.910395575283,World,Europe,Southern Europe,Europe,Southern Europe,ALB,Albania
Netherlands,NLD,2018,27519.916153654704,World,Europe,Western Europe,Europe,Southern Europe,ALB,Albania
France,FRA,2018,26067.724236591657,World,Europe,Western Europe,Europe,Southern Europe,ALB,Albania
Switzerland,CHE,2018,25075.524941210544,World,Europe,Western Europe,Europe,Southern Europe,ALB,Albania
Spain,ESP,2018,95805.77788627576,World,Europe,Southern Europe,Europe,Southern Europe,AND,Andorra
France,FRA,2018,27061.69976754894,World,Europe,Western Europe,Europe,Southern Europe,AND,Andorra
Norway,NOR,2018,7840.603153888378,World,Europe,Northern Europe,Europe,Southern Europe,AND,Andorra
Austria,AUT,2018,4851.407429652967,World,Europe,Western Europe,Europe,Southern Europe,AND,Andorra
Netherlands,NLD,2018,2435.3259722158123,World,Europe,Western Europe,Europe,Southern Europe,AND,Andorra
China,CHN,2018,24523671.2556615,World,Asia,Eastern Asia,Africa,Middle Africa,AGO,Angola
India,IND,2018,3769684.701836229,World,Asia,Southern Asia,Africa,Middle Africa,AGO,Angola
United States,USA,2018,1591146.8666810652,World,Americas,Northern America,Africa,Middle Africa,AGO,Angola
Spain,ESP,2018,1242213.570743633,World,Europe,Southern Europe,Africa,Middle Africa,AGO,Angola
South Africa,ZAF,2018,1179884.1544550525,World,Africa,Southern Africa,Africa,Middle Africa,AGO,Angola
Portugal,PRT,2018,1077449.2008130825,World,Europe,Southern Europe,Africa,Middle Africa,AGO,Angola
United Arab Emirates,ARE,2018,912537.0573131129,World,Asia,Western Asia,Africa,Middle Africa,AGO,Angola
France,FRA,2018,887605.8718351754,World,Europe,Western Europe,Africa,Middle Africa,AGO,Angola
Singapore,SGP,2018,681806.9283302464,World,Asia,South-eastern Asia,Africa,Middle Africa,AGO,Angola
Namibia,NAM,2018,650747.4215965723,World,Africa,Southern Africa,Africa,Middle Africa,AGO,Angola
Thailand,THA,2018,649645.7835572268,World,Asia,South-eastern Asia,Africa,Middle Africa,AGO,Angola
Canada,CAN,2018,649462.4709779309,World,Americas,Northern America,Africa,Middle Africa,AGO,Angola
"Congo, Rep.",COG,2018,587891.6567313492,World,Africa,Middle Africa,Africa,Middle Africa,AGO,Angola
Indonesia,IDN,2018,575597.4121223764,World,Asia,South-eastern Asia,Africa,Middle Africa,AGO,Angola
United Kingdom,GBR,2018,536460.297517176,World,Europe,Northern Europe,Africa,Middle Africa,AGO,Angola
United Arab Emirates,ARE,2018,8095.873155970599,World,Asia,Western Asia,Americas,Caribbean,ATG,Antigua and Barbuda
United States,USA,2018,4867.142225445499,World,Americas,Northern America,Americas,Caribbean,ATG,Antigua and Barbuda
Netherlands,NLD,2018,3090.2361356867,World,Europe,Western Europe,Americas,Caribbean,ATG,Antigua and Barbuda
Saint Maarten (Dutch part),SXM,2018,1778.773332336,World,Americas,Caribbean,Americas,Caribbean,ATG,Antigua and Barbuda
Dominica,DMA,2018,1649.7787094789,World,Americas,Caribbean,Americas,Caribbean,ATG,Antigua and Barbuda
